Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chlorobaculum thiosulfatiphilum strain DSM 249 NODE_41_length_14703_cov_30.1525, whole genome shotgun sequence",Chlorobaculum thiosulfatiphilum,77,77,71%,6.00E-16,31.43,14703,NZ_VDCH01000041.1
"Prosthecochloris aestuarii DSM 271, complete sequence",Prosthecochloris aestuarii DSM 271,57.8,57.8,64%,2.00E-09,31.21,2512923,NC_011059.1
"Prosthecochloris aestuarii DSM 271 plasmid pPAES01, complete sequence",Prosthecochloris aestuarii DSM 271,51.2,51.2,17%,3.00E-07,53.49,66772,NC_011061.1
"Chlorobaculum limnaeum strain DSM 1677, complete genome",Chlorobaculum limnaeum,50.8,145,18%,4.00E-07,54.35,2797276,NZ_CP017305.1
"Chlorobium phaeovibrioides DSM 265, complete sequence",Chlorobium phaeovibrioides DSM 265,48.9,48.9,17%,2.00E-06,58.14,1966858,NC_009337.1
"Chloroherpeton thalassium ATCC 35110, complete sequence",Chloroherpeton thalassium ATCC 35110,48.5,48.5,17%,2.00E-06,58.14,3293456,NC_011026.1
"Prosthecochloris marina strain V1 NODE_2_length_431151_cov_75.7595, whole genome shotgun sequence",Prosthecochloris marina,48.1,48.1,17%,3.00E-06,55.81,431151,NZ_PDNZ01000002.1
"Chlorobium ferrooxidans DSM 13031 ctg62, whole genome shotgun sequence",Chlorobium ferrooxidans DSM 13031,48.1,48.1,17%,3.00E-06,55.81,331109,NZ_AASE01000001.1
"Chlorobium phaeobacteroides DSM 266, complete sequence",Chlorobium phaeobacteroides DSM 266,48.1,48.1,17%,3.00E-06,55.81,3133902,NC_008639.1
"Chlorobium limicola DSM 245, complete sequence",Chlorobium limicola DSM 245,47.8,47.8,17%,3.00E-06,55.81,2763181,NC_010803.1
"Chlorobaculum parvum NCIB 8327, complete sequence",Chlorobaculum parvum NCIB 8327,47.8,47.8,17%,4.00E-06,58.14,2289249,NC_011027.1
"Pelodictyon luteolum DSM 273, complete sequence",Pelodictyon luteolum DSM 273,47.8,47.8,17%,4.00E-06,55.81,2364842,NC_007512.1
"Chlorobaculum thiosulfatiphilum strain DSM 249 NODE_12_length_62907_cov_13.5287, whole genome shotgun sequence",Chlorobaculum thiosulfatiphilum,47.8,47.8,17%,4.00E-06,55.81,62907,NZ_VDCH01000012.1
"Prosthecochloris vibrioformis strain DSM 260 NODE_1_length_598147_cov_18.9631, whole genome shotgun sequence",Prosthecochloris vibrioformis,47.8,47.8,17%,4.00E-06,53.49,598147,NZ_VDCI01000001.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
