Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Deinobacterium chartae strain DSM 21458 Ga0415239_13, whole genome shotgun sequence",Deinobacterium chartae,226,226,90%,1.00E-66,49.61,97607,NZ_JACHHG010000013.1
"Deinococcus misasensis DSM 22328 Q371DRAFT_scaffold00005.5_C, whole genome shotgun sequence",Deinococcus misasensis DSM 22328,225,225,90%,5.00E-66,48.63,203335,NZ_JQKG01000005.1
"Deinococcus irradiatisoli strain 17bor-2 chromosome, complete genome",Deinococcus irradiatisoli,224,224,89%,1.00E-65,49.8,3052043,NZ_CP029494.1
"Deinococcus cellulosilyticus NBRC 106333 = KACC 11606 strain NBRC 106333 sequence24, whole genome shotgun sequence",Deinococcus cellulosilyticus NBRC 106333 = KACC 11606,223,223,90%,2.00E-65,48.82,88521,NZ_BJXB01000024.1
"Deinococcus radiophilus strain ATCC 27603 NODE_9_length_90790_cov_175.651556, whole genome shotgun sequence",Deinococcus radiophilus,223,223,97%,2.00E-65,46.35,90790,NZ_RXPE01000009.1
"Deinococcus pimensis DSM 21231 DeipiDRAFT_Scaffold12.4, whole genome shotgun sequence",Deinococcus pimensis DSM 21231,223,223,90%,2.00E-65,48.43,173366,NZ_KI912617.1
"Deinococcus proteolyticus MRP, complete sequence",Deinococcus proteolyticus MRP,221,221,96%,8.00E-65,46.64,2147060,NC_015161.1
"Deinococcus piscis strain CGMCC 1.18439 sequence003, whole genome shotgun sequence",Deinococcus piscis,221,221,97%,9.00E-65,46.35,144234,NZ_BNAL01000003.1
"Deinococcus maricopensis DSM 21211, complete sequence",Deinococcus maricopensis DSM 21211,221,221,97%,1.00E-64,45.99,3498530,NC_014958.1
"Deinococcus peraridilitoris DSM 19664, complete sequence",Deinococcus peraridilitoris DSM 19664,221,221,90%,1.00E-64,48.43,3881839,NC_019793.1
"Deinococcus yavapaiensis KR-236 strain DSM 18048 Ga0244513_111, whole genome shotgun sequence",Deinococcus yavapaiensis KR-236,220,220,90%,2.00E-64,47.43,193516,NZ_QJSX01000011.1
"Deinococcus ruber strain JCM 31311 sequence002, whole genome shotgun sequence",Deinococcus ruber,220,220,96%,3.00E-64,45.59,252070,NZ_BMQL01000002.1
"Deinococcus planocerae strain XY-FW106 contig23, whole genome shotgun sequence",Deinococcus planocerae,220,220,90%,3.00E-64,48.82,72436,NZ_PNOR01000023.1
"Deinococcus aquatilis DSM 23025 F561DRAFT_scaffold00007.7, whole genome shotgun sequence",Deinococcus aquatilis DSM 23025,219,219,90%,4.00E-64,47.45,141015,NZ_KB899701.1
"Deinococcus puniceus strain DY1 chromosome, complete genome",Deinococcus puniceus,219,219,90%,7.00E-64,47.45,2971983,NZ_CP011387.1
"Deinococcus murrayi DSM 11303 H565DRAFT_scaffold00018.18_C, whole genome shotgun sequence",Deinococcus murrayi DSM 11303,219,219,97%,7.00E-64,45.42,47736,NZ_AXWT01000026.1
"Deinococcus roseus strain JCM 14370 sequence04, whole genome shotgun sequence",Deinococcus roseus,219,219,90%,8.00E-64,47.64,323992,NZ_BMOD01000004.1
"Deinococcus metalli strain CGMCC 1.18437 sequence08, whole genome shotgun sequence",Deinococcus metalli,218,218,97%,1.00E-63,45.62,210804,NZ_BNAJ01000008.1
"Deinococcus aerius strain TR0125, whole genome shotgun sequence",Deinococcus aerius,218,218,90%,1.00E-63,48.64,165843,NZ_BFAG01000012.1
"Deinococcus detaillensis strain H1 H1_Contig4, whole genome shotgun sequence",Deinococcus detaillensis,218,218,96%,1.00E-63,46.52,242232,NZ_VKDB01000004.1
"Deinococcus phoenicis strain 1P10ME CR5801000035, whole genome shotgun sequence",Deinococcus phoenicis,218,218,90%,2.00E-63,48.03,38754,NZ_JHAC01000034.1
"Deinococcus apachensis DSM 19763 F784DRAFT_scaffold00009.9, whole genome shotgun sequence",Deinococcus apachensis DSM 19763,218,218,97%,2.00E-63,45.79,131736,NZ_KB906406.1
"Deinococcus indicus strain DR1 Spades_3_len:240435, whole genome shotgun sequence",Deinococcus indicus,218,218,90%,2.00E-63,47.84,240435,NZ_NHMK01000014.1
Deinococcus metallilatus strain MA1002 chromosome,Deinococcus metallilatus,218,218,90%,2.00E-63,48.03,3062136,NZ_CP038512.1
"Deinococcus gobiensis I-0, complete sequence",Deinococcus gobiensis I-0,217,217,97%,2.00E-63,45.62,3137147,NC_017790.1
"Deinococcus reticulitermitis strain CGMCC 1.10218, whole genome shotgun sequence",Deinococcus reticulitermitis,217,217,97%,2.00E-63,44.53,235415,NZ_FNZA01000004.1
"Deinococcus aquiradiocola strain JCM 14371 sequence05, whole genome shotgun sequence",Deinococcus aquiradiocola,217,217,97%,3.00E-63,44.69,262354,NZ_BMOE01000005.1
