Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Treponema brennaborense DSM 12168, complete sequence",Treponema brennaborense DSM 12168,242,242,90%,1.00E-71,47.1,3055580,NC_015500.1
"Marispirochaeta aestuarii strain JC444 Contig12, whole genome shotgun sequence",Marispirochaeta aestuarii,239,239,90%,2.00E-70,47.49,163418,NZ_MWQY01000012.1
"Brachyspira pilosicoli 95/1000, complete sequence",Brachyspira pilosicoli 95/1000,236,236,90%,2.00E-69,46.33,2586443,NC_014330.1
"Treponema berlinense strain ATCC BAA-909, whole genome shotgun sequence",Treponema berlinense,236,236,90%,2.00E-69,46.33,162519,NZ_FUXC01000005.1
"Brachyspira alvinipulli ATCC 51933 T324DRAFT_scaffold00002.2, whole genome shotgun sequence",Brachyspira alvinipulli ATCC 51933,232,232,90%,6.00E-68,45.56,563111,NZ_KI912403.1
"Sediminispirochaeta smaragdinae DSM 11293, complete sequence",Sediminispirochaeta smaragdinae DSM 11293,232,232,91%,6.00E-68,46.18,4653970,NC_014364.1
"Brachyspira hampsonii strain NSH-16 chromosome, complete genome",Brachyspira hampsonii,231,231,90%,9.00E-68,45.95,3189639,NZ_CP019914.1
"Leptospira idonii strain 201300427 NODE_4_covk_43.0009_covr_87.47_cutoff_40, whole genome shotgun sequence",Leptospira idonii,231,231,89%,1.00E-67,43.97,251864,NZ_RQHW01000013.1
"Treponema lecithinolyticum ATCC 700332 Scaffold3, whole genome shotgun sequence",Treponema lecithinolyticum ATCC 700332,231,231,90%,2.00E-67,45.95,411934,NZ_KI260561.1
"Leptospira alexanderi strain 56659 Contig148, whole genome shotgun sequence",Leptospira alexanderi,230,230,89%,2.00E-67,44.92,6569,NZ_JQGW01000148.1
"Treponema pectinovorum strain Marseille-3-CSURP7641, whole genome shotgun sequence",Treponema pectinovorum,230,230,90%,3.00E-67,44.79,512612,NZ_UFQO01000002.1
"Sediminispirochaeta bajacaliforniensis DSM 16054 F459DRAFT_scaffold00018.18, whole genome shotgun sequence",Sediminispirochaeta bajacaliforniensis DSM 16054,230,230,91%,3.00E-67,46.18,100038,NZ_KB899423.1
"Brachyspira suanatina strain AN4859/03, whole genome shotgun sequence",Brachyspira suanatina,230,230,90%,3.00E-67,44.79,2243936,NZ_CVLB01000001.1
"Brachyspira innocens ATCC 29796 strain B256 F811DRAFT_scaffold00014.14_C, whole genome shotgun sequence",Brachyspira innocens ATCC 29796,229,229,90%,5.00E-67,45.17,66152,NZ_ARQI01000117.1
"Brachyspira intermedia PWS/A, complete sequence",Brachyspira intermedia PWS/A,229,229,90%,5.00E-67,44.79,3304788,NC_017243.1
"Leptospira kobayashii strain E30, whole genome shotgun sequence",Leptospira kobayashii,229,229,89%,6.00E-67,44.36,933097,NZ_BFBA01000013.1
"Leptospira levettii strain 201601119 NODE_1_covk_41.2664_covr_81.55_cutoff_47, whole genome shotgun sequence",Leptospira levettii,229,292,90%,6.00E-67,44.79,3388505,NZ_RQHO01000002.1
"Leptospira jelokensis strain 201702419 contig_0001, whole genome shotgun sequence",Leptospira jelokensis,229,229,90%,7.00E-67,44.4,1556994,NZ_RQGR01000029.1
"Brachyspira hyodysenteriae strain NM31 Bhyo-ST108-NM31_contig_46_coverage_525.92, whole genome shotgun sequence",Brachyspira hyodysenteriae,229,229,90%,7.00E-67,44.79,62946,NZ_LZON01000041.1
"Brachyspira murdochii DSM 12563, complete sequence",Brachyspira murdochii DSM 12563,229,229,89%,8.00E-67,45.53,3241804,NC_014150.1
"Leptospira ilyithenensis strain 201400974 NODE_3_covk_46.6383_covr_91.68_cutoff_51, whole genome shotgun sequence",Leptospira ilyithenensis,229,229,89%,8.00E-67,44.36,378206,NZ_RQHV01000042.1
"Leptospira vanthielii strain 201601955 contig_0001, whole genome shotgun sequence",Leptospira vanthielii,229,229,90%,8.00E-67,44.79,607257,NZ_RQHF01000028.1
"Leptospira ellinghausenii strain E18, whole genome shotgun sequence",Leptospira ellinghausenii,229,292,90%,8.00E-67,44.79,1774662,NZ_BFAZ01000009.1
"Leptospira weilii strain CUDO6 chromosome I, complete sequence",Leptospira weilii,228,342,89%,9.00E-67,44.53,3965053,NZ_CP040840.1
"Leptospira harrisiae strain FH2-B-A1 contig_5, whole genome shotgun sequence",Leptospira harrisiae,228,228,90%,1.00E-66,44.4,276551,NZ_NPDX01000005.1
"Leptospira bourretii strain 201800267 contig_0005, whole genome shotgun sequence",Leptospira bourretii,228,295,90%,1.00E-66,44.4,443882,NZ_RQFW01000012.1
"Leptospira montravelensis strain 201800278 contig_0003, whole genome shotgun sequence",Leptospira montravelensis,228,228,90%,1.00E-66,44.4,758363,NZ_RQFO01000016.1
"Leptospira mtsangambouensis strain 201601298 NODE_1_covk_43.3007_covr_73.38, whole genome shotgun sequence",Leptospira mtsangambouensis,228,228,90%,1.00E-66,44.4,1414320,NZ_RQHK01000017.1
"Leptospira noumeaensis strain 201800287 contig_0001, whole genome shotgun sequence",Leptospira noumeaensis,228,228,90%,1.00E-66,44.4,1496545,NZ_RQFK01000026.1
"Treponema maltophilum ATCC 51939 aczIZ-supercont-complete, whole genome shotgun sequence",Treponema maltophilum ATCC 51939,228,228,90%,1.00E-66,45.56,2530388,NZ_KE332518.1
"Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639 strain LT 11-33 ctg7180000024129, whole genome shotgun sequence",Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639,228,228,90%,1.00E-66,44.79,727616,NZ_AOGW02000006.1
"Leptospira wolbachii serovar Codice str. CDC ctg1134731807536, whole genome shotgun sequence",Leptospira wolbachii serovar Codice str. CDC,228,228,90%,1.00E-66,44.79,2540234,NZ_AOGZ02000014.1
"Leptospira bandrabouensis strain 201601109 NODE_1_covk_42.0487_covr_83.35_44, whole genome shotgun sequence",Leptospira bandrabouensis,228,293,90%,2.00E-66,44.02,2166722,NZ_RQHU01000005.1
"Leptospira kemamanensis strain 201702454 contig_0005, whole genome shotgun sequence",Leptospira kemamanensis,228,228,90%,2.00E-66,44.02,245408,NZ_RQGG01000036.1
"Leptospira kanakyensis strain 201800292 contig_0001, whole genome shotgun sequence",Leptospira kanakyensis,228,228,90%,2.00E-66,44.4,1522793,NZ_RQFG01000005.1
"Leptospira biflexa strain 201601962 contig_0001, whole genome shotgun sequence",Leptospira biflexa,228,228,90%,2.00E-66,44.4,1898183,NZ_RQHA01000004.1
"Leptospira yanagawae strain 201800272 contig_0001, whole genome shotgun sequence",Leptospira yanagawae,228,228,90%,2.00E-66,44.02,922342,NZ_RQFU01000005.1
