Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Fusobacterium perfoetens ATCC 29250 T364DRAFT_scaffold00008.8_C, whole genome shotgun sequence",Fusobacterium perfoetens ATCC 29250,224,224,89%,3.00E-66,48.59,91976,NZ_JHXW01000010.1
"Fusobacterium varium ATCC 27725 chromosome, complete genome",Fusobacterium varium ATCC 27725,218,218,97%,6.00E-64,44.12,3303644,NZ_CP028103.1
"Fusobacterium ulcerans strain ATCC 49185 chromosome, complete genome",Fusobacterium ulcerans,217,217,97%,1.00E-63,43.75,3537675,NZ_CP028105.1
"Fusobacterium mortiferum ATCC 9817 chromosome, complete genome",Fusobacterium mortiferum ATCC 9817,214,214,96%,2.00E-62,43.82,2716766,NZ_CP028102.1
"Fusobacterium massiliense strain Marseille-P2749T, whole genome shotgun sequence",Fusobacterium massiliense,213,213,96%,2.00E-62,43.23,238105,NZ_LT608324.1
"Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence",Cetobacterium ceti,211,211,89%,1.00E-61,45.75,160250,NZ_FUWX01000009.1
"Ilyobacter polytropus DSM 2926, complete sequence",Ilyobacter polytropus DSM 2926,211,211,91%,1.00E-61,41.9,2046464,NC_014632.1
"Fusobacterium necrogenes strain NCTC10723, whole genome shotgun sequence",Fusobacterium necrogenes,211,211,96%,2.00E-61,43.45,1927475,NZ_UGGU01000003.1
"Fusobacterium necrophorum subsp. funduliforme strain 1_1_36S chromosome, complete genome",Fusobacterium necrophorum subsp. funduliforme,210,210,96%,2.00E-61,43.66,2286018,NZ_CP028107.1
"Fusobacterium gonidiaformans ATCC 25563 chromosome, complete genome",Fusobacterium gonidiaformans ATCC 25563,210,210,96%,3.00E-61,43.45,1678881,NZ_CP028106.1
"Psychrilyobacter atlanticus DSM 19335 K337DRAFT_scaffold00001.1, whole genome shotgun sequence",Psychrilyobacter atlanticus DSM 19335,207,207,90%,3.00E-60,43.36,2326853,NZ_KE384547.1
"Fusobacterium russii ATCC 25533 strain 593A G326DRAFT_scaffold00022.22, whole genome shotgun sequence",Fusobacterium russii ATCC 25533,203,203,90%,9.00E-59,42.69,31823,NZ_KB906927.1
"Fusobacterium nucleatum subsp. polymorphum strain NCTC10562 chromosome 1, complete sequence",Fusobacterium nucleatum subsp. polymorphum,202,202,96%,3.00E-58,43.45,2443126,NZ_LN831027.1
"Fusobacterium canifelinum strain OH4460_COT-188 scaffold_35, whole genome shotgun sequence",Fusobacterium canifelinum,199,199,90%,2.00E-57,43.48,9399,NZ_RQYY01000036.1
"Hypnocyclicus thermotrophus strain DSM 100055 Ga0310544_106, whole genome shotgun sequence",Hypnocyclicus thermotrophus,199,199,97%,2.00E-57,42.59,157840,NZ_SOBG01000006.1
"Fusobacterium hwasookii ChDC F206 chromosome, complete genome",Fusobacterium hwasookii ChDC F206,198,198,96%,4.00E-57,41.95,2424685,NZ_CP013336.1
"Fusobacterium pseudoperiodonticum strain KCOM 1261 chromosome, complete genome",Fusobacterium pseudoperiodonticum,196,196,90%,3.00E-56,41.67,2372880,NZ_CP024699.1
"Cetobacterium somerae ATCC BAA-474 Scaffold37, whole genome shotgun sequence",Cetobacterium somerae ATCC BAA-474,196,196,96%,4.00E-56,38.95,92878,NZ_KI518170.1
"Fusobacterium periodonticum ATCC 33693 Scfld20, whole genome shotgun sequence",Fusobacterium periodonticum ATCC 33693,195,195,90%,6.00E-56,41.67,801742,NZ_GG665893.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
