Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Roseomonas ludipueritiae strain DSM 14915 Scaffold255, whole genome shotgun sequence",Roseomonas ludipueritiae,392,392,97%,1.00E-125,70.37,3693,NZ_JACTUZ010000255.1
"Roseomonas alkaliterrae strain DSM 25895 Ga0373337_04, whole genome shotgun sequence",Roseomonas alkaliterrae,397,397,97%,2.00E-124,71.11,305265,NZ_JACIJE010000004.1
"Roseococcus suduntuyensis strain DSM 19979 Ga0373227_11, whole genome shotgun sequence",Roseococcus suduntuyensis,394,394,97%,2.00E-123,72.32,76168,NZ_JACIDJ010000011.1
"Skermanella aerolata strain NBRC 106429 sequence006, whole genome shotgun sequence",Skermanella aerolata,394,394,96%,3.00E-123,72.76,439752,NZ_BJYZ01000006.1
"Roseomonas oryzicola strain KCTC 22478 Scaffold2, whole genome shotgun sequence",Roseomonas oryzicola,392,392,97%,8.00E-123,70,1040792,NZ_JAAVUP010000002.1
"Roseomonas rhizosphaerae strain YW11 contig3, whole genome shotgun sequence",Roseomonas rhizosphaerae,392,392,97%,1.00E-122,71.11,407352,NZ_PDNU01000003.1
"Roseomonas lacus strain CGMCC 1.3617 sequence03, whole genome shotgun sequence",Roseomonas lacus,392,392,97%,1.00E-122,70.37,468552,NZ_BMKW01000003.1
"Roseomonas cervicalis ATCC 49957 SCAFFOLD1, whole genome shotgun sequence",Roseomonas cervicalis ATCC 49957,392,392,97%,1.00E-122,70.74,1708823,NZ_GG770777.1
"Roseomonas aestuarii strain JR1/69-1-13 NODE_1_length_630259_cov_21.9197, whole genome shotgun sequence",Roseomonas aestuarii,391,391,97%,2.00E-122,71.11,630259,NZ_PDOA01000001.1
"Skermanella stibiiresistens SB22 contig5, whole genome shotgun sequence",Skermanella stibiiresistens SB22,390,390,96%,4.00E-122,72.01,334135,NZ_AVFL01000004.1
"Roseomonas deserti strain M3 M3_S294_L001_R1_001_(paired)_contig_528, whole genome shotgun sequence",Roseomonas deserti,386,386,97%,4.00E-122,70.74,4473,NZ_MLCO01000527.1
"Skermanella pratensis strain W17 chromosome, complete genome",Skermanella pratensis,389,389,96%,1.00E-121,72.39,5869433,NZ_CP030265.1
"Roseomonas aerophila strain NBRC 108923 Scaffold69, whole genome shotgun sequence",Roseomonas aerophila,389,389,97%,1.00E-121,70.37,20122,NZ_JACTVA010000069.1
"Azospirillum formosense strain CC-NFb-7 NODE_426_length_2903_cov_6.309438_1-2903, whole genome shotgun sequence",Azospirillum formosense,375,375,88%,2.00E-121,76.23,2902,NZ_WHOR01000426.1
"Roseomonas gilardii subsp. rosea strain NCTC13290, whole genome shotgun sequence",Roseomonas gilardii subsp. rosea,388,388,97%,3.00E-121,71.11,2982497,NZ_UGVO01000001.1
"Roseomonas pecuniae strain DSM 25622 Ga0373336_05, whole genome shotgun sequence",Roseomonas pecuniae,387,387,97%,7.00E-121,69.63,248548,NZ_JACIJD010000005.1
"Roseomonas vastitatis strain CPCC 101021 Scaffold5, whole genome shotgun sequence",Roseomonas vastitatis,387,387,97%,9.00E-121,70.37,230176,NZ_QXGS01000005.1
"Roseomonas mucosa strain NCTC13291, whole genome shotgun sequence",Roseomonas mucosa,387,387,97%,9.00E-121,70.74,4237410,NZ_UGVN01000001.1
"Roseomonas rosea strain DSM 14916, whole genome shotgun sequence",Roseomonas rosea,385,385,96%,2.00E-120,71.27,223187,NZ_FQZF01000005.1
"Rhodovarius lipocyclicus strain CCUG 44693 contig00002, whole genome shotgun sequence",Rhodovarius lipocyclicus,385,385,97%,3.00E-120,70.85,484071,NZ_JAAABL010000002.1
"Humitalea rosea strain DSM 24525 Ga0183458_118, whole genome shotgun sequence",Humitalea rosea,384,384,97%,6.00E-120,68.89,113142,NZ_QKYU01000018.1
"Roseomonas aerilata DSM 19363 BO39DRAFT_scaffold00004.4_C, whole genome shotgun sequence",Roseomonas aerilata DSM 19363,383,383,97%,2.00E-119,70,293699,NZ_JONP01000004.1
"Roseomonas oryzae strain KCTC 42542 Scaffold6, whole genome shotgun sequence",Roseomonas oryzae,383,383,97%,2.00E-119,69.26,223203,NZ_VUKA01000006.1
"Rubritepida flocculans DSM 14296 H596DRAFT_scaffold00010.10_C, whole genome shotgun sequence",Rubritepida flocculans DSM 14296,383,383,96%,2.00E-119,71,102777,NZ_AUDH01000010.1
"Siccirubricoccus deserti strain CGMCC 1.15936 sequence020, whole genome shotgun sequence",Siccirubricoccus deserti,381,381,97%,9.00E-119,71.22,92726,NZ_BMKH01000020.1
"Roseomonas frigidaquae strain JCM NODE_7_length_485655_cov_137.919896_1, whole genome shotgun sequence",Roseomonas frigidaquae,380,380,97%,1.00E-118,70,485655,NZ_JAATJR010000007.1
"Nitrospirillum amazonense CBAmc chromosome 1, complete sequence",Nitrospirillum amazonense CBAmc,380,380,96%,1.00E-118,69.78,2945703,NZ_CP022110.1
"Azospirillum palustre strain B2 Scaffold_05, whole genome shotgun sequence",Azospirillum palustre,380,380,96%,2.00E-118,70.52,2752140,NZ_PDKW01000043.1
"Belnapia moabensis DSM 16746 EP26DRAFT_scaffold00003.3_C, whole genome shotgun sequence",Belnapia moabensis DSM 16746,379,379,97%,3.00E-118,70.11,214935,NZ_JQKB01000003.1
"Roseicella frigidaeris strain DB1506 4-DB1506_2, whole genome shotgun sequence",Roseicella frigidaeris,379,379,97%,3.00E-118,71.22,566742,NZ_QLIX01000002.1
"Azospirillum melinis strain TMCY0552 NODE_39_length_64954_cov_48.145819_1-64720, whole genome shotgun sequence",Azospirillum melinis,379,379,96%,4.00E-118,70.52,64719,NZ_WHOS01000039.1
"Nitrospirillum iridis strain DSM 22198 Ga0373326_14, whole genome shotgun sequence",Nitrospirillum iridis,379,379,96%,4.00E-118,69.4,207605,NZ_JACIIZ010000014.1
"Roseomonas nepalensis strain S9.3B scaffold1.1, whole genome shotgun sequence",Roseomonas nepalensis,379,379,97%,5.00E-118,69.26,513054,NZ_RCZP01000001.1
"Paracoccus litorisediminis strain NBRC 112902 Scaffold52, whole genome shotgun sequence",Paracoccus litorisediminis,357,357,89%,6.00E-118,69.35,1883,NZ_WMIG01000052.1
"Niveispirillum lacus strain 1-14 scaffold11, whole genome shotgun sequence",Niveispirillum lacus,379,379,96%,6.00E-118,69.78,610971,NZ_NOXU01000030.1
"Azospirillum oryzae strain KACC 14407 chromosome, complete genome",Azospirillum oryzae,378,378,96%,7.00E-118,70.52,2801374,NZ_CP054619.1
"Azospirillum humicireducens strain SgZ-5, complete genome",Azospirillum humicireducens,378,378,96%,8.00E-118,70.52,3181617,NZ_CP015285.1
"Belnapia rosea strain CPCC 100156, whole genome shotgun sequence",Belnapia rosea,378,378,97%,1.00E-117,69.74,1277911,NZ_FMZX01000001.1
"Crenalkalicoccus roseus strain YIM 78023 Scaffold6, whole genome shotgun sequence",Crenalkalicoccus roseus,378,378,97%,1.00E-117,69.37,198606,NZ_SJDM01000006.1
"Azospirillum lipoferum strain 59b NODE_2_length_513015, whole genome shotgun sequence",Azospirillum lipoferum,378,378,96%,1.00E-117,70.15,513015,NZ_VTTN01000002.1
"Dankookia rubra strain JCM30602 NODE_2_length_296157_cov_28.586304, whole genome shotgun sequence",Dankookia rubra,377,377,97%,2.00E-117,70.11,296157,NZ_SMSJ01000002.1
"Roseomonas stagni DSM 19981, whole genome shotgun sequence",Roseomonas stagni DSM 19981,377,377,97%,2.00E-117,69.63,239848,NZ_FOSQ01000009.1
"Azospirillum thiophilum strain BV-S chromosome 1, complete sequence",Azospirillum thiophilum,377,377,95%,2.00E-117,71.21,3037424,NZ_CP012401.1
"Niveispirillum cyanobacteriorum strain TH16 chromosome eg_1, complete sequence",Niveispirillum cyanobacteriorum,377,377,96%,2.00E-117,69.78,3397866,NZ_CP025611.1
"Oleisolibacter albus strain NAU-10 Scaffold16, whole genome shotgun sequence",Oleisolibacter albus,376,376,96%,5.00E-117,69.4,106622,NZ_QGNJ01000016.1
"Azospirillum baldaniorum strain BR 12001 Ga0314198_114, whole genome shotgun sequence",Azospirillum baldaniorum,375,375,88%,6.00E-117,76.23,224578,NZ_VITE01000014.1
"Azospirillum doebereinerae strain GSF71 Scaffold2, whole genome shotgun sequence",Azospirillum doebereinerae,375,375,95%,9.00E-117,70.83,410659,NZ_RZIJ01000002.1
"Caldovatus sediminis strain CGMCC 1.16330 sequence02, whole genome shotgun sequence",Caldovatus sediminis,375,375,97%,1.00E-116,68.15,537449,NZ_BMKS01000002.1
"Paracraurococcus ruber strain JCM9931 NODE_61_length_30162_cov_6.875304, whole genome shotgun sequence",Paracraurococcus ruber,374,374,97%,1.00E-116,69.37,30162,NZ_SMOA01000061.1
